Player,Team,Pos.,yds,routes,tgts,Yds/Rt,Open,Catch,YAC,OverallOVR,Year
Dalton Schultz,Cowboys,TE,615,461,82,1.3,47,38,54,44,2020
Logan Thomas,Commanders,TE,744,560,114,1.3,41,45,54,44,2020
Darren Waller,Raiders,TE,741,377,96,2.0,52,39,45,44,2021
Jordan Akins,Texans,TE,418,340,54,1.2,34,38,71,43,2019
Cole Beasley,Cowboys,WR,715,465,88,1.5,41,60,35,43,2018
Trey Burton,Bears,TE,569,412,65,1.4,46,49,42,43,2018
Josh Doctson,Commanders,WR,532,442,73,1.2,33,65,41,43,2018
Eric Ebron,Lions,TE,574,359,81,1.6,40,53,45,43,2017
Tyler Eifert,Bengals,TE,436,297,63,1.5,20,78,46,43,2019
Zach Ertz,Cardinals,TE,406,331,66,1.2,46,54,37,43,2022
Rob Gronkowski,Patriots,TE,873,428,90,2.0,42,48,48,43,2018
Chris Hogan,Patriots,WR,591,438,74,1.3,55,43,35,43,2017
Adam Humphries,Buccaneers,WR,631,421,65,1.5,43,53,42,43,2017
Christian Kirk,Jaguars,WR,"1,238",619,153,2.0,63,35,34,43,2022
Isaiah McKenzie,Bills,WR,433,373,64,1.2,62,36,33,43,2022
Trent Sherfield,Dolphins,WR,417,409,53,1.0,50,40,46,43,2022
Cam Sims,Commanders,WR,581,388,57,1.5,23,52,70,43,2020
Brandin Cooks,Texans,WR,699,387,84,1.8,49,50,33,42,2022
Eric Ebron,Colts,TE,375,190,51,2.0,43,38,54,42,2019
Quincy Enunwa,Jets,WR,449,277,52,1.6,40,29,71,42,2018
Larry Fitzgerald,Cardinals,WR,"1,156",584,130,2.0,26,72,41,42,2017
Van Jefferson,Rams,WR,904,603,99,1.5,43,43,49,42,2021
George Kittle,49ers,TE,515,325,60,1.6,33,51,56,42,2017
Zach Pascal,Colts,WR,607,361,67,1.7,48,33,53,42,2019
Paul Richardson,Seahawks,WR,703,473,77,1.5,45,43,46,42,2017
Nick Westbrook-Ikhine,Titans,WR,476,296,54,1.6,40,52,45,42,2021
Tyrell Williams,Chargers,WR,728,474,67,1.5,45,40,51,42,2017
Damiere Byrd,Patriots,WR,604,393,68,1.5,52,39,40,41,2020
Randall Cobb,Cowboys,WR,828,426,75,1.9,39,38,58,41,2019
Jared Cook,Raiders,TE,688,403,79,1.7,33,57,46,41,2017
Evan Engram,Jaguars,TE,890,531,98,1.7,42,46,46,41,2022
Ted Ginn,Saints,WR,439,408,57,1.1,60,25,44,41,2019
Adam Humphries,Buccaneers,WR,816,523,90,1.6,48,31,53,41,2018
Isaiah Likely,Ravens,TE,373,256,53,1.5,54,33,44,41,2022
Kyle Pitts,Falcons,TE,356,192,56,1.9,60,25,43,41,2022
Kyle Pitts,Falcons,TE,"1,026",457,109,2.2,31,57,49,41,2021
Kyle Rudolph,Vikings,TE,634,439,73,1.4,20,70,49,41,2018
Courtland Sutton,Broncos,WR,704,432,79,1.6,44,45,44,41,2018
Albert Wilson,Dolphins,WR,351,282,56,1.2,52,34,45,41,2019
Tyler Boyd,Bengals,WR,"1,046",556,142,1.9,38,34,63,40,2019
Keelan Cole,Jaguars,WR,642,483,76,1.3,39,50,44,40,2020
Tyler Conklin,Jets,TE,552,427,83,1.3,40,45,48,40,2022
