Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,-9999
330,Jalen Mills,NWE,28,CB,10,10,2,46,28,60.90%,378,13.5,8.2,2,83.4,11.2,255,123,1,0,1,0,1,31,2,6.10%,MillJa02
331,Anthony Nelson,TAM,25,OLB,17,8,0,9,7,77.80%,44,6.3,4.9,0,87,1.2,10,34,17,3,1,5.5,10,46,1,2.10%,NelsAn01
332,Shy Tuttle,NOR,27,DT,17,14,0,1,1,100.00%,7,7,7,0,95.8,-4,-4,11,0,0,0,2,3,49,1,2.00%,TuttSh00
333,Sam Webb,LVR,24,CB,17,3,0,44,31,70.50%,337,10.9,7.7,1,100.3,8.6,202,135,3,0,0,0,0,36,2,5.30%,WebbSa00
334,Leonard Williams,NYG,28,DL,12,12,0,1,1,100.00%,46,46,46,0,118.7,-3,-3,49,0,6,8,2.5,17,45,0,0.00%,WillLe02
335,Frank Clark,KAN,29,DE,15,15,0,8,5,62.50%,27,5.4,3.4,0,68.2,0,-16,43,12,10,8,5,24,39,3,7.10%,ClarFr01
336,Dee Delaney,TAM,27,DB,17,1,0,15,14,93.30%,77,5.5,5.1,1,110.3,1.6,21,56,9,0,0,0,0,29,3,9.40%,DelaDe00
337,Carlos Dunlap,KAN,33,DE,17,2,0,2,1,50.00%,-1,-1,-0.5,0,56.2,-4,-2,1,9,7,8,4,20,39,0,0.00%,DunlCa99
338,Davon Godchaux,NWE,28,DT,17,17,0,1,0,0.00%,0,,0,0,39.6,1,0,0,0,2,1,1.5,5,62,2,3.10%,GodcDa00
339,Deion Jones,CLE,28,MLB,11,5,1,24,15,62.50%,170,11.3,7.1,1,80.2,2.2,43,127,9,0,0,2.5,3,44,4,8.30%,JoneDe01
340,Jack Jones,NWE,25,DB,13,2,2,37,20,54.10%,357,17.9,9.6,0,64.8,12.2,190,167,0,0,0,0,0,30,3,9.10%,JoneJa10
341,Larry Ogunjobi,PIT,28,DT,16,16,0,0,0,,0,,,0,,,0,0,0,0,9,1.5,11,48,2,4.00%,OgunLa00
342,Isaiah Oliver,ATL,26,CB,12,5,1,42,29,69.00%,267,9.2,6.4,0,76.2,7.3,98,169,3,0,1,1,2,37,3,7.50%,OlivIs00
343,David Onyemata,NOR,30,DT,17,17,0,2,2,100.00%,10,5,5,0,87.5,-1.5,-3,13,0,3,4,5,13,43,3,6.50%,OnyeDa00
344,Sheldon Rankins,NYJ,28,DT,15,15,0,0,0,,0,,,0,,,0,0,0,4,4,3,11,43,2,4.40%,RankSh00
345,Duke Riley,MIA,28,LB,17,2,0,30,21,70.00%,160,7.6,5.3,2,104.9,4.2,77,83,16,1,0,1,2,45,1,2.20%,RileDu00
346,Jeffery Simmons*,TEN,25,DT,15,15,0,4,3,75.00%,2,0.7,0.5,0,77.1,-2.5,-7,9,1,8,5,7.5,21,54,5,8.50%,SimmJe01
347,Roderic Teamer,LVR,25,S,17,3,0,25,19,76.00%,166,8.7,6.6,2,119.7,4,55,111,8,1,0,0,1,40,2,4.80%,TeamRo00
348,Broderick Washington Jr.,BAL,26,DT,17,9,0,0,0,,0,,,0,,,0,0,0,1,3,1,5,49,2,3.90%,WashBr01
349,Dane Belton,NYG,22,S,15,5,2,31,20,64.50%,272,13.6,8.8,0,65.5,9.7,122,150,16,1,1,0,2,31,3,8.80%,BeltDa00
350,Morgan Fox,LAC,28,DL,17,12,0,0,0,,0,,,0,,,0,0,3,4,5,6.5,16,38,0,0.00%,FoxxMo00
351,William Gholston,TAM,31,DL,17,9,0,2,1,50.00%,2,2,1,1,95.8,-1,2,0,0,0,5,0,5,49,1,2.00%,GholWi00
352,Shelby Harris,SEA,31,DE,15,15,0,0,0,,0,,,0,,,0,0,0,2,4,2,8,44,4,8.30%,HarrSh00
353,Dre'Mont Jones,DEN,25,DE,13,13,0,0,0,,0,,,0,,,0,0,1,4,5,6.5,16,47,1,2.10%,JoneDr00
354,Joshua Kalu,TEN,27,DB,16,5,1,35,24,68.60%,268,11.2,7.7,2,98.3,9.6,173,95,11,0,0,0,0,42,2,4.50%,KaluJo00
355,Isaiah Rodgers,IND,24,CB,15,9,0,29,17,58.60%,192,11.3,6.6,3,113,11,87,105,0,0,0,0,0,34,1,2.90%,RodgIs00
356,Logan Ryan,TAM,31,S,9,6,1,21,12,57.10%,160,13.3,7.6,2,93.4,13.1,122,38,4,1,0,0,1,37,3,7.50%,RyanLo00
357,Keith Taylor,CAR,24,CB,17,2,0,35,24,68.60%,426,17.8,12.2,2,129,11.5,316,110,1,0,0,0,0,29,3,9.40%,TaylKe03
358,Andrew Van Ginkel,MIA,27,LB,17,5,1,16,14,87.50%,75,5.4,4.7,0,60.2,-0.5,-11,86,25,4,3,0.5,8,47,3,6.00%,VanGAn00
359,Travon Walker,JAX,22,OLB,15,14,1,10,5,50.00%,58,11.6,5.8,0,28.3,2.6,18,40,20,10,7,3.5,21,49,5,9.30%,WalkTr03
360,Zach Allen,ARI,25,DE,13,13,0,3,3,100.00%,17,5.7,5.7,0,90.3,-1.3,-4,21,7,7,12,5.5,25,47,2,4.10%,AlleZa01
361,Tre Avery,TEN,25,CB,14,3,0,44,21,47.70%,268,12.8,6.1,3,90,11.5,214,54,0,0,0,0,0,29,0,0.00%,AverTr01
362,Jonathon Cooper,DEN,24,OLB,14,9,0,11,9,81.80%,57,6.3,5.2,0,88.3,0.4,-2,59,16,2,4,2,8,48,0,0.00%,CoopJo02
363,Fletcher Cox,PHI,32,DT,17,17,0,1,1,100.00%,5,5,5,0,87.5,-4,-4,9,1,9,8,7,25,43,1,2.30%,CoxxFl00
364,Shaquill Griffin,JAX,27,CB,5,5,0,32,21,65.60%,252,12,7.9,2,110.4,10.3,180,72,0,0,0,0,0,29,2,6.50%,GrifSh00
365,Darius Harris,KAN,26,LB,17,4,0,21,14,66.70%,135,9.6,6.4,2,116.2,3,27,108,18,0,0,1.5,2,43,1,2.30%,HarrDa07
366,Michael Hoecht,LAR,25,DT,17,6,0,1,1,100.00%,17,17,17,0,118.7,2,2,15,4,3,4,4.5,12,36,2,5.30%,HoecMi00
367,Josh Jones,SEA,28,S,12,3,0,20,12,60.00%,251,20.9,12.6,1,120.8,11.3,101,150,4,0,1,0,1,28,8,22.20%,JoneJo06
368,Dean Lowry,GNB,28,DL,15,12,0,1,0,0.00%,0,,0,0,39.6,0,0,0,2,1,4,0.5,6,43,1,2.30%,LowrDe00
369,Duke Shelley,MIN,26,CB,11,5,1,46,21,45.70%,266,12.7,5.8,0,55.2,12.6,209,57,0,0,0,0,0,31,1,3.10%,ShelDu00
370,Tavierre Thomas,HOU,26,DB,10,6,0,29,18,62.10%,132,7.3,4.6,0,72.8,6.2,69,63,13,0,0,0,0,41,3,6.80%,ThomTa01
371,Joe Tryon-Shoyinka,TAM,23,OLB,17,16,0,24,14,58.30%,109,7.8,4.5,1,83.5,1.2,-2,111,35,8,9,4,22,40,2,4.80%,TryoJo00
372,Josh Uche,NWE,24,LB,15,0,0,4,4,100.00%,56,14,14,0,118.7,2.8,11,45,6,10,3,11.5,25,27,0,0.00%,UcheJo00
373,DeMarcus Walker,TEN,28,DL,17,6,0,1,0,0.00%,0,,0,0,39.6,10,0,0,1,2,7,7,17,32,4,11.10%,WalkDe03
374,Damien Wilson,CAR,29,LB,17,5,0,8,8,100.00%,77,9.6,9.6,0,106.8,2.5,20,57,6,1,0,2,3,38,2,5.00%,WilsDa02
375,Cornell Armstrong,ATL,27,DB,9,4,0,43,24,55.80%,310,12.9,7.2,2,94.1,12.1,226,84,0,0,0,0,0,33,1,2.90%,ArmsCo00
376,Micheal Clemons,NYJ,25,DT,16,0,0,0,0,,0,,,0,,,0,0,0,2,2,2.5,7,36,1,2.70%,ClemMi03
377,Bryan Cook,KAN,23,S,16,1,0,20,14,70.00%,186,13.3,9.3,3,138.7,11,150,36,7,0,2,1,3,33,3,8.30%,CookBr02
378,Tyrel Dodson,BUF,24,LB,16,3,0,14,12,85.70%,130,10.8,9.3,0,105.4,3.6,35,95,8,1,1,1,3,32,4,11.10%,DodsTy01
379,Poona Ford,SEA,27,DT,17,16,0,2,2,100.00%,-3,-1.5,-1.5,0,79.2,-1,-2,-1,0,0,4,3,7,35,1,2.80%,FordPo00
380,Dante Fowler,DAL,28,DE,17,0,0,3,3,100.00%,39,13,13,0,118.7,7.7,23,16,4,11,4,6,21,27,0,0.00%,FowlDa00
381,Dennis Gardeck,ARI,28,OLB,14,3,1,10,9,90.00%,77,8.6,7.7,0,59.2,1.6,22,55,17,3,3,1,7,31,2,6.10%,GardDe01
382,Markus Golden,ARI,31,OLB,17,14,0,8,5,62.50%,40,8,5,0,75,-1.6,-1,41,54,4,15,2.5,22,48,1,2.00%,GoldMa00
383,Trey Hendrickson*,CIN,28,DE,15,15,0,8,5,62.50%,31,6.2,3.9,1,109.9,0.1,-2,33,0,10,16,8,35,32,3,8.60%,HendTr00
384,D.J. Jones,DEN,27,DT,15,15,0,2,2,100.00%,30,15,15,0,118.7,-4.5,-9,39,0,4,2,2,8,34,4,10.50%,JoneD.01
385,DaQuan Jones,BUF,31,DT,16,16,0,0,0,,0,,,0,,,0,0,0,3,8,2,14,38,4,9.50%,JoneDa04
386,A'Shawn Robinson,LAR,27,DT,10,10,0,0,0,,0,,,0,,,0,0,0,1,3,0,4,42,2,4.50%,RobiAS00
387,Khalen Saunders,KAN,26,DT,16,0,0,3,3,100.00%,21,7,7,0,95.8,1.7,5,16,0,1,4,3.5,9,48,1,2.00%,SaunKh00
388,Darrell Taylor,SEA,25,LB,16,3,0,6,4,66.70%,46,11.5,7.7,0,89.6,2.2,9,37,19,6,4,9.5,20,26,3,10.30%,TaylDa00
389,Isaiah Buggs,DET,26,DL,17,13,0,0,0,,0,,,0,,,0,0,0,2,8,1,11,46,2,4.20%,BuggIs00
390,Arnold Ebiketie,ATL,23,OLB,16,1,0,8,5,62.50%,46,9.2,5.8,0,78.1,0.6,-11,57,9,4,8,2.5,15,30,0,0.00%,EbikAr00
391,Samson Ebukam,SFO,27,DE,15,15,0,5,3,60.00%,16,5.3,3.2,1,105,-2.6,-5,21,10,2,7,5,15,36,1,2.70%,EbukSa00
392,Rashad Fenton,2TM,25,CB/DB,7,6,0,28,23,82.10%,330,14.3,11.8,1,127.7,8.7,188,142,6,1,0,0,1,28,4,12.50%,FentRa00
393,Rashan Gary,GNB,25,LB,9,9,0,1,1,100.00%,4,4,4,0,83.3,-2,-2,6,28,5,6,6,17,32,1,3.00%,GaryRa00
394,Jerry Hughes,HOU,34,DL,17,16,1,6,5,83.30%,47,9.4,7.8,0,59.7,-4,-18,65,1,7,3,9,19,35,6,14.60%,HughJe99
395,Chandler Jones,LVR,32,DE,15,15,0,5,3,60.00%,17,5.7,3.4,0,66.2,0.4,0,17,24,4,9,4.5,19,38,4,9.50%,JoneCh03
396,James Pierre,PIT,26,CB,17,2,1,31,13,41.90%,181,13.9,5.8,1,58.7,10.9,113,68,1,0,0,0,0,29,0,0.00%,PierJa01
397,Mike Purcell,DEN,31,DL,17,4,0,1,1,100.00%,6,6,6,1,131.2,-4,-4,10,0,2,3,1.5,7,45,2,4.30%,PurcMi00
398,Eric Stokes,GNB,23,CB,9,9,0,25,20,80.00%,261,13.1,10.4,1,123.5,12.5,186,75,1,0,0,0,0,26,2,7.10%,StokEr00
399,Kindle Vildor,CHI,25,DB,11,9,1,38,25,65.80%,345,13.8,9.1,3,110.1,8.4,203,142,0,0,0,0,0,34,2,5.60%,VildKi00
400,K'Von Wallace,PHI,25,S,17,1,0,12,8,66.70%,121,15.1,10.1,1,127.4,9.3,66,55,1,0,0,0,0,28,1,3.40%,WallKV00
401,DeShawn Williams,DEN,30,DL,17,15,0,3,2,66.70%,15,7.5,5,0,78.5,-5.7,-13,28,0,2,3,4.5,10,37,2,5.10%,WillDe04
402,Azeez Al-Shaair,SFO,25,LB,12,9,0,16,12,75.00%,131,10.9,8.2,0,98.7,7.4,70,61,13,1,1,0,2,44,4,8.30%,AlShAz00
403,Shaquil Barrett,TAM,30,OLB,8,8,0,5,5,100.00%,36,7.2,7.2,0,96.7,1.4,7,29,14,8,5,3,16,31,0,0.00%,BarrSh00
404,Reed Blankenship,PHI,23,S,10,4,1,11,6,54.50%,71,11.8,6.5,1,66.9,8,33,38,0,0,0,0,0,34,1,2.90%,BlanRe00
405,Bradley Chubb*,2TM,26,OLB,16,15,0,7,3,42.90%,36,12,5.1,0,59.2,4,22,14,78,11,12,8,32,39,4,9.30%,ChubBr00
406,Keion Crossen,MIA,26,DB,16,2,0,34,19,55.90%,256,13.5,7.5,2,99.6,13.5,192,64,1,0,0,0,0,32,4,11.10%,CrosKe00
407,Tre Flowers,CIN,27,CB,15,0,1,18,12,66.70%,112,9.3,6.2,1,78.9,6.2,47,65,1,0,0,0,0,27,1,3.60%,FlowTr01
408,Malik Harrison,BAL,24,LB,17,8,0,11,10,90.90%,56,5.6,5.1,0,87.9,1.9,21,35,14,1,0,0,1,31,1,3.10%,HarrMa06
409,Marquis Haynes,CAR,29,DE,17,1,0,6,6,100.00%,22,3.7,3.7,0,81.9,-0.3,-2,24,0,4,7,5,16,29,1,3.30%,HaynMa01
410,Danny Johnson,WAS,27,CB,11,4,1,39,21,53.80%,167,8,4.3,0,54.1,8.4,115,52,6,0,0,1,1,29,0,0.00%,JohnDa09
411,Marshon Lattimore,NOR,26,CB,7,7,1,35,21,60.00%,228,10.9,6.5,0,67.3,9.9,132,96,0,0,0,0,0,29,0,0.00%,LattMa01
412,Roy Lopez,HOU,25,DL,17,14,0,1,0,0.00%,0,,0,0,39.6,-5,0,0,0,3,2,1,6,36,2,5.30%,LopeRo00
413,Ed Oliver,BUF,25,DT,13,13,0,0,0,,0,,,0,,,0,0,0,2,11,2.5,16,34,1,2.90%,OlivEd00
414,Jeremy Reaves*+,WAS,26,S,17,3,0,9,5,55.60%,36,7.2,4,0,65,6.3,22,14,3,0,0,0,0,33,1,2.90%,ReavJe00
415,Teair Tart,TEN,25,DT,16,16,1,2,1,50.00%,0,0,0,0,16.7,-2,-6,6,0,5,5,1.5,12,34,2,5.60%,TartTe00
416,Dalvin Tomlinson,MIN,28,DL,13,13,0,0,0,,0,,,0,,,0,0,0,4,7,2.5,14,42,0,0.00%,TomlDa00
417,Tanner Vallejo,ARI,28,LB,17,5,0,20,14,70.00%,202,14.4,10.1,1,119.2,3,32,170,5,0,2,0,2,37,6,14.00%,VallTa00
418,Josh Bynes,BAL,33,LB,7,7,1,14,8,57.10%,77,9.6,5.5,1,66.7,2.4,10,67,13,1,0,1,2,29,1,3.30%,ByneJo00
419,Blake Cashman,HOU,26,LB,16,1,0,5,3,60.00%,22,7.3,4.4,0,70.4,4,7,15,9,0,2,3,5,26,0,0.00%,CashBl00
420,Leo Chenal,KAN,22,LB,17,8,0,8,5,62.50%,77,15.4,9.6,0,94.3,1.5,9,68,13,0,2,1,3,35,5,12.50%,ChenLe00
421,Jordan Elliott,CLE,25,DT,17,17,0,1,0,0.00%,0,,0,0,39.6,-9,0,0,0,5,1,2,8,36,1,2.70%,ElliJo02
422,Akayleb Evans,MIN,23,CB,10,2,0,25,16,64.00%,252,15.8,10.1,1,110.7,13.6,185,67,0,0,0,0,0,23,1,4.20%,EvanAk00
423,Brandon Graham,PHI,34,DE,17,1,0,2,2,100.00%,2,1,1,0,79.2,-0.5,-1,3,15,4,4,11,21,35,0,0.00%,GrahBr99
424,Justin Hollins,2TM,26,,16,5,0,5,3,60.00%,10,3.3,2,0,64.6,-1.4,-13,23,30,4,3,3.5,11,35,1,2.80%,HollJu00
425,Shaq Lawson,BUF,28,DE,15,6,0,0,0,,0,,,0,,,0,0,0,2,5,3.5,11,31,0,0.00%,LawsSh00
426,Sean Murphy-Bunting,TAM,25,CB,12,5,2,41,21,51.20%,186,8.9,4.5,2,59.6,11.9,145,41,4,0,0,0,0,31,5,13.90%,BuntSe00
427,Rakeem Nunez-Roches,TAM,29,DL,17,10,0,1,1,100.00%,2,2,2,0,79.2,-6,-6,8,2,1,1,2,4,33,1,2.90%,NuneRa00
428,Adetokunbo Ogundeji,ATL,24,OLB,16,16,0,5,5,100.00%,27,5.4,5.4,1,128.7,-0.2,-1,28,3,1,0,2,3,42,1,2.30%,OgunAd01
429,Dominique Robinson,CHI,24,DL,17,7,0,1,1,100.00%,5,5,5,0,87.5,-5,-5,10,0,5,2,1.5,9,30,4,11.80%,RobiDo00
430,Josiah Scott,PHI,23,CB,16,4,2,32,22,68.80%,299,13.6,9.3,3,103.5,7.5,171,128,5,2,0,0,2,26,0,0.00%,ScotJo00
431,Milton Williams,PHI,23,DT,17,0,0,2,2,100.00%,4,2,2,0,79.2,-4,-8,12,1,1,2,4,7,36,0,0.00%,WillMi08
432,DeAundre Alford,ATL,25,CB,16,0,1,31,17,54.80%,198,11.6,6.4,1,71.7,11.6,148,50,6,1,0,0.5,2,25,2,7.40%,AlfoDe00
433,Markus Bailey,CIN,25,LB,16,1,0,2,2,100.00%,22,11,11,0,112.5,2.5,5,17,0,0,0,0,0,24,0,0.00%,BailMa01
434,Andrew Billings,LVR,27,DT,14,14,0,0,0,,0,,,0,,,0,0,0,0,1,1,3,39,2,4.90%,BillAn00
435,Calais Campbell,BAL,36,DE,14,14,0,0,0,,0,,,0,,,0,0,0,1,8,5.5,15,36,5,12.20%,CampCa99
436,John Cominsky,DET,27,DL,14,8,0,2,2,100.00%,28,14,14,0,118.7,-1,-2,30,0,5,8,4,17,30,0,0.00%,ComiJo00
437,Kingsley Enagbare,GNB,22,LB,17,7,0,5,4,80.00%,25,6.3,5,0,87.5,-0.8,1,24,30,4,5,3,12,31,1,3.10%,EnagKi00
438,Yetur Gross-Matos,CAR,24,DE,17,17,0,1,0,0.00%,0,,0,0,39.6,-3,0,0,0,1,7,2.5,11,54,0,0.00%,GrosYe00
439,Lawrence Guy,NWE,32,DL,14,14,0,1,1,100.00%,7,7,7,0,95.8,2,2,5,0,2,2,2,7,46,2,4.20%,GuyxLa00
440,Bruce Irvin,SEA,35,LB,11,10,0,3,3,100.00%,16,5.3,5.3,0,88.9,-0.7,-2,18,6,3,5,3.5,12,28,2,6.70%,IrviBr00
441,Jermaine Johnson II,NYJ,23,DE,14,0,0,3,2,66.70%,13,6.5,4.3,0,75.7,-3,-7,20,6,1,2,2.5,6,29,1,3.30%,JohnJe07
442,George Karlaftis III,KAN,21,DE,17,17,0,6,4,66.70%,32,8,5.3,1,119.4,0.3,2,30,9,11,3,6,21,33,4,10.80%,KarlGe00
443,Carl Lawson,NYJ,27,DE,17,17,0,4,2,50.00%,21,10.5,5.3,0,65.6,1.8,-3,24,13,2,16,7,26,33,2,5.70%,LawsCa00
444,David Long,LAR,24,DB,12,4,0,32,24,75.00%,294,12.3,9.2,1,113.3,9.8,216,78,0,0,0,0,0,21,3,12.50%,LongDa02
445,DeAngelo Malone,ATL,23,OLB,15,0,0,3,2,66.70%,14,7,4.7,0,77.1,-0.3,-3,17,1,2,1,1,4,29,2,6.50%,MaloDe00
446,Zyon McCollum,TAM,23,CB,13,3,0,22,16,72.70%,216,13.5,9.8,1,118.7,11.1,150,66,1,0,0,0,0,24,3,11.10%,McCoZy02
447,Von Miller,BUF,33,LB,11,11,0,0,0,,0,,,0,,,0,0,19,16,3,8,27,21,2,8.70%,MillVo00
448,Emmanuel Moseley,SFO,26,CB,5,5,1,27,18,66.70%,160,8.9,5.9,0,66.9,8.3,82,78,3,1,0,0,1,22,5,18.50%,MoseEm00
449,Eric Murray,HOU,28,DB,17,0,0,3,3,100.00%,22,7.3,7.3,1,136.8,6.3,19,3,0,0,0,0,0,27,0,0.00%,MurrEr00
450,Yannick Ngakoue,IND,27,DE,15,15,0,1,1,100.00%,13,13,13,0,118.7,-1,-1,14,0,10,5,9.5,27,29,3,9.40%,NgakYa00
451,Keisean Nixon+,GNB,25,CB,17,4,1,29,20,69.00%,202,10.1,7,1,85.7,6.7,89,113,3,0,0,0,0,23,2,8.00%,NixoKe00
452,Dayo Odeyingbo,IND,23,DE,17,4,0,1,0,0.00%,0,,0,0,39.6,-6,0,0,2,7,4,5,17,31,0,0.00%,OdeyDa00
453,D.J. Reader,CIN,28,DT,10,10,0,1,1,100.00%,69,69,69,0,118.7,-1,-1,70,0,3,5,0,8,27,1,3.60%,ReadD.00
454,Armon Watts,CHI,26,DT,17,12,0,0,0,,0,,,0,,,0,0,0,2,1,1,4,35,2,5.40%,WattAr01
455,Rashad Weaver,TEN,25,OLB,16,4,0,4,2,50.00%,13,6.5,3.3,0,57.3,0.8,6,7,10,6,10,5.5,22,27,5,15.60%,WeavRa00
456,Matthew Adams,CHI,27,LB,10,3,0,7,5,71.40%,49,9.8,7,0,90.8,2.3,8,41,1,0,0,0,0,26,2,7.10%,AdamMa00
457,Dorance Armstrong Jr.,DAL,25,DE,17,5,0,7,6,85.70%,66,11,9.4,0,106,-3.1,-17,83,2,4,5,8.5,18,33,2,5.70%,ArmsDo00
458,Denico Autry,TEN,32,DL,12,8,0,4,4,100.00%,30,7.5,7.5,0,97.9,2.5,10,20,1,4,10,8,22,27,1,3.60%,AutrDe00
459,Krys Barnes,GNB,24,LB,6,1,0,9,7,77.80%,51,7.3,5.7,1,127.3,3.1,38,13,1,0,0,1,1,29,2,6.50%,BarnKr00
460,Christian Benford,BUF,22,CB,9,5,1,28,17,60.70%,231,13.6,8.3,1,84.1,11.3,138,93,0,0,0,0,0,24,6,20.00%,BenfCh00
461,Justin Bethel,MIA,32,CB,17,0,1,19,12,63.20%,104,8.7,5.5,1,73.1,8.8,48,56,0,0,0,0,0,26,3,10.30%,BethJu00
462,Chris Board,DET,27,LB,17,1,0,12,8,66.70%,86,10.8,7.2,1,115.3,5.4,53,33,10,2,1,0,3,21,1,4.50%,BoarCh00
463,Jonathan Bullard,MIN,29,DL,12,7,0,1,0,0.00%,0,,0,0,39.6,4,0,0,0,0,1,0,1,23,0,0.00%,BullJo00
464,Justin Evans,NOR,27,DB,15,4,0,30,18,60.00%,232,12.9,7.7,1,95.4,6.8,118,114,4,1,0,0,1,29,4,12.10%,EvanJu00
465,Trevis Gipson,CHI,25,DL,17,10,0,2,1,50.00%,19,19,9.5,0,83.3,2,10,9,0,8,7,3,18,31,1,3.10%,GipsTr00
466,Matthew Ioannidis,CAR,28,DT,13,13,0,1,1,100.00%,-6,-6,-6,0,79.2,-2,-2,-4,0,2,7,1,10,37,3,7.50%,IoanMa01
467,Quinton Jefferson,SEA,29,DE,17,3,0,0,0,,0,,,0,,,0,0,1,5,7,5.5,18,29,2,6.50%,JeffQu00
468,Kelvin Joseph,DAL,22,CB,16,1,0,18,12,66.70%,219,18.3,12.2,4,147.9,14,184,35,0,0,0,0,0,20,0,0.00%,JoseKe02
469,Jourdan Lewis,DAL,27,CB,6,4,1,26,19,73.10%,170,8.9,6.5,0,74.2,6.2,51,119,2,0,0,1,1,26,2,7.10%,LewiJo01
470,Alim McNeill,DET,22,DL,17,17,0,0,0,,0,,,0,,,0,0,4,6,4,1,11,41,2,4.70%,McNeAl00
471,Tre Norwood,PIT,23,DB,15,3,0,20,10,50.00%,118,11.8,5.9,0,68.3,11,78,40,3,0,0,0,0,23,5,17.90%,NorwTr00
472,Jason Pierre-Paul,BAL,33,OLB,14,13,1,3,3,100.00%,19,6.3,6.3,0,53.5,1.3,4,15,4,0,0,3,3,26,3,10.30%,PierJa99
473,Cameron Sample,CIN,23,DE,16,1,0,4,2,50.00%,4,2,1,0,56.2,1.8,-3,7,1,2,4,2,8,25,2,7.40%,SampCa00
474,Myjai Sanders,ARI,24,OLB,13,4,0,3,2,66.70%,20,10,6.7,1,125,-2.7,-5,25,19,4,2,3,9,23,2,8.00%,SandMy00
475,P.J. Williams,NOR,29,CB,11,3,0,12,9,75.00%,162,18,13.5,2,156.2,9,76,86,1,0,0,0,0,26,1,3.70%,WillP.00
476,Ahkello Witherspoon,PIT,27,CB,4,4,1,29,22,75.90%,248,11.3,8.6,4,126.1,9.2,181,67,0,0,0,0,0,20,1,4.80%,WithAh00
477,Nahshon Wright,DAL,24,CB,7,2,1,28,17,60.70%,242,14.2,8.6,0,73.8,12.9,165,77,0,0,0,0,0,23,1,4.20%,WrigNa00
478,Josh Blackwell,CHI,23,DB,16,1,0,13,7,53.80%,87,12.4,6.7,1,100.5,7.8,42,45,1,0,0,0,0,23,0,0.00%,BlacJo00
479,Marquise Copeland,LAR,25,DT,15,9,0,0,0,,0,,,0,,,0,0,1,1,1,1,3,31,0,0.00%,CopeMa01
480,Marcus Davenport,NOR,26,DE,15,9,0,1,1,100.00%,-3,-3,-3,0,79.2,-8,-8,5,0,6,7,0.5,14,29,1,3.30%,DaveMa00
481,John Franklin-Myers,NYJ,26,DT,17,17,0,5,5,100.00%,-5,-1,-1,0,79.2,-3.6,-18,13,0,3,11,5,21,38,1,2.60%,FranJo02
482,Greg Gaines,LAR,26,DT,16,12,0,0,0,,0,,,0,,,0,0,0,3,2,4,9,36,0,0.00%,GainGr00
483,Neville Gallimore,DAL,25,DT,16,1,0,0,0,,0,,,0,,,0,0,0,1,0,1,2,33,1,2.90%,GallNe00
484,Jack Gibbens,TEN,24,LB,5,2,1,12,9,75.00%,76,8.4,6.3,0,56.2,4,16,60,6,0,0,0,0,28,1,3.40%,GibbJa00
485,Ronnie Harrison,CLE,25,S,16,5,0,17,11,64.70%,85,7.7,5,0,76.8,4.6,36,49,7,0,0,0.5,1,24,1,4.00%,HarrRo02
486,Tony Jefferson,NYG,30,S,9,1,0,15,13,86.70%,87,6.7,5.8,0,90.8,3.6,40,47,14,0,0,0,0,23,0,0.00%,JeffTo00
487,Austin Johnson,LAC,28,DL,8,8,0,1,1,100.00%,9,9,9,1,143.7,7,7,2,0,2,2,1,5,22,3,12.00%,JohnAu01
488,Jaquan Johnson,BUF,27,S,16,3,1,12,9,75.00%,112,12.4,9.3,1,96.5,12.6,81,31,3,0,0,0,0,32,2,5.90%,JohnJa11
489,Patrick Jones II,MIN,24,OLB,16,0,0,3,2,66.70%,24,12,8,0,91,2,1,23,17,3,1,4,8,27,0,0.00%,JonePa00
490,Arden Key,JAX,26,OLB,17,3,0,3,2,66.70%,15,7.5,5,0,78.5,9,0,15,9,5,10,4.5,20,27,1,3.60%,KeyxAr00
491,Bilal Nichols,LVR,26,DT,17,17,0,0,0,,0,,,0,,,0,0,0,3,9,1.5,14,44,1,2.20%,NichBi00
492,George Odum,SFO,29,DB,17,0,1,3,2,66.70%,8,4,2.7,1,70.1,10.7,8,0,0,0,0,0,0,22,0,0.00%,OdumGe00
493,Mike Pennel,CHI,31,DL,17,2,0,2,2,100.00%,-7,-3.5,-3.5,0,79.2,-6.5,-13,6,0,2,2,0,4,26,1,3.70%,PennMi00
494,Nathan Shepherd,NYJ,29,DT,17,3,0,1,1,100.00%,12,12,12,0,116.7,0,0,12,0,1,4,1.5,7,33,3,8.30%,ShepNa00
495,Tremon Smith,HOU,26,DB,17,2,2,16,9,56.30%,93,10.3,5.8,1,54.4,7.4,62,31,0,0,0,0,0,22,1,4.30%,SmitTr04
496,Tre'Davious White,BUF,27,CB,6,6,1,33,18,54.50%,244,13.6,7.4,1,75.8,13.5,200,44,1,1,0,0,1,20,1,4.80%,WhitTr01
497,Russ Yeast,LAR,23,S,15,1,0,7,6,85.70%,76,12.7,10.9,0,111.9,8.9,42,34,0,0,0,0,0,20,1,4.80%,YeasRu00
498,Abdullah Anderson,ATL,26,DL,16,8,0,0,0,,0,,,0,,,0,0,0,0,0,1,1,40,0,0.00%,AndeAb00
